mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_border_count,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
63.470415353775024,2.929674036093686,0.0581355094909668,0.05952149944081518,1,64,2,800,1,0.01,"{'bagging_temperature': 1, 'border_count': 64, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-35373.44355077205,-36865.71967077026,-35879.112900137916,-36039.42537389341,619.6757601146123,49
80.35032963752747,10.635633848200246,0.025431235631306965,0.009110328937563103,1,64,4,800,1,0.1,"{'bagging_temperature': 1, 'border_count': 64, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-29554.241146492906,-30535.933010469358,-30388.998230658126,-30159.724129206796,432.32294190541234,10
79.88495008150737,16.986280240339504,0.09543530146280925,0.07187161357205178,1,64,4,800,1,0.05,"{'bagging_temperature': 1, 'border_count': 64, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-29548.814233253706,-30355.848761643174,-30121.857266325085,-30008.840087073986,339.02393682217433,4
122.59877443313599,21.423990495720698,0.06145517031351725,0.030372657867044336,1,64,4,800,1,0.01,"{'bagging_temperature': 1, 'border_count': 64, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-31424.36279534859,-32739.201618498573,-32094.736555496853,-32086.10032311467,536.8154376182615,43
210.2101581891378,4.357599742511239,0.09760514895121257,0.05106636623835219,1,64,10,800,1,0.1,"{'bagging_temperature': 1, 'border_count': 64, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-31511.149795107183,-32657.734722389887,-32344.80731834384,-32171.23061194697,483.9152154531889,46
212.7634348074595,2.4407271002843514,0.028657039006551106,0.010734959432613243,1,64,10,800,1,0.05,"{'bagging_temperature': 1, 'border_count': 64, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-30727.462631036615,-31771.925205239106,-31624.7324993894,-31374.706778555043,461.59878901955494,28
207.18277740478516,3.8137167525058078,0.09091409047444661,0.07984396988205784,1,64,10,800,1,0.01,"{'bagging_temperature': 1, 'border_count': 64, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-30256.102967524188,-31551.05128911573,-31253.629404747513,-31020.261220462475,553.8160470622948,22
117.90347051620483,17.085153266026857,0.11927469571431477,0.1479088446002876,1,128,2,800,1,0.1,"{'bagging_temperature': 1, 'border_count': 128, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-30166.023560090664,-31290.785652068287,-31017.981978861684,-30824.930397006876,479.04357897095485,13
132.29200990994772,4.628039260910163,0.12359253565470378,0.09847382867898002,1,128,2,800,1,0.05,"{'bagging_temperature': 1, 'border_count': 128, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-30795.110533572195,-31980.679241358877,-31646.62195125548,-31474.13724206218,499.13693605387033,31
128.14307888348898,1.7030560239828183,0.0686028003692627,0.031546736651071584,1,128,2,800,1,0.01,"{'bagging_temperature': 1, 'border_count': 128, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-35484.642416470735,-36809.117917628915,-35957.60676705302,-36083.789033717556,548.0269528697189,52
142.46587721506754,4.348859097360222,0.13425556818644205,0.11381105610376455,1,128,4,800,1,0.1,"{'bagging_temperature': 1, 'border_count': 128, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-29565.457161328628,-30568.975097842613,-30303.014892695857,-30145.81571728903,424.49636652372004,7
146.16909956932068,2.9208646031063092,0.13642470041910806,0.14949242657703285,1,128,4,800,1,0.05,"{'bagging_temperature': 1, 'border_count': 128, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-29462.99854575298,-30372.13681927637,-30075.70748359563,-29970.28094954166,378.5667406224402,1
142.4243574142456,3.395854145893327,0.07145547866821289,0.08833665272245121,1,128,4,800,1,0.01,"{'bagging_temperature': 1, 'border_count': 128, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-31325.838829900902,-32660.78896954963,-32106.73178112515,-32031.1198601919,547.6074267681502,40
234.48099573453268,2.1582925791156873,0.1371296246846517,0.08093660134297216,1,128,10,800,1,0.1,"{'bagging_temperature': 1, 'border_count': 128, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-31078.251058523914,-32524.720707237822,-32272.899263287305,-31958.62367634968,630.9492687326377,37
232.576376358668,5.892819987578084,0.11555258433024089,0.09279426995077807,1,128,10,800,1,0.05,"{'bagging_temperature': 1, 'border_count': 128, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-30428.33235707298,-31860.926302268887,-31326.24417823113,-31205.167612524336,591.0871362867501,25
229.32224321365356,1.554820464484544,0.13241060574849448,0.09745183157815818,1,128,10,800,1,0.01,"{'bagging_temperature': 1, 'border_count': 128, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-30041.910413772952,-31577.2121482768,-31099.810555344895,-30906.311039131553,641.5446989227024,16
130.5215342839559,2.715999919764969,0.20663889249165854,0.27004595036455586,5,64,2,800,1,0.1,"{'bagging_temperature': 5, 'border_count': 64, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-30300.640076878954,-31293.06493337971,-31126.837328033085,-30906.84744609725,433.9918855353122,19
128.6457506020864,3.040578766646549,0.13975262641906738,0.05439381192647936,5,64,2,800,1,0.05,"{'bagging_temperature': 5, 'border_count': 64, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-30940.53562209931,-31896.156901041908,-31743.71045058045,-31526.800991240554,419.1978787758958,34
117.08246962229411,10.040215423017964,0.02032192548116048,0.009110433067106875,5,64,2,800,1,0.01,"{'bagging_temperature': 5, 'border_count': 64, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-35373.44355077205,-36865.71967077026,-35879.112900137916,-36039.42537389341,619.6757601146123,49
98.62719321250916,1.4031450760566042,0.08313051859537761,0.07114293558676081,5,64,4,800,1,0.1,"{'bagging_temperature': 5, 'border_count': 64, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-29554.241146492906,-30535.933010469358,-30388.998230658126,-30159.724129206796,432.32294190541234,10
